total intl minutes,total eve minutes,total day minutes,total intl calls,total eve calls,total day calls,state,number vmail messages,international plan,voice mail plan,customer service calls,account length,churn
6.6,61.9,299.4,7,88,71,OH,0,yes,no,2,84,False
14.4,248.9,210.1,2,108,126,WY,0,no,no,4,58,False
7.5,232.1,182.5,2,96,65,CT,0,no,no,2,33,False
6.3,202.8,264.3,3,118,79,ID,21,no,yes,4,79,False
14.6,246.1,193.7,3,96,91,MN,33,no,yes,2,74,False
13.0,212.9,167.8,3,123,121,VA,0,no,no,5,103,False
9.7,174.9,176.1,4,106,90,VA,0,no,no,1,182,False
9.1,233.0,185.1,7,98,126,MD,0,no,no,0,141,False
10.2,64.3,158.7,4,139,74,NY,0,no,no,1,106,False
6.1,164.2,234.5,4,94,134,IL,0,no,no,1,179,False
13.4,213.9,118.5,3,118,86,FL,26,no,yes,2,75,False
8.8,207.6,186.8,4,92,94,LA,0,no,no,3,62,False
11.5,170.5,303.2,3,86,133,MS,0,no,no,0,13,True
10.7,167.9,252.4,3,81,74,MD,0,no,no,2,136,False
12.8,273.8,209.4,1,89,67,OH,0,no,no,0,165,False
10.1,162.0,51.9,3,83,108,CT,0,no,no,3,141,False
10.0,256.9,138.7,3,113,107,VA,0,no,no,0,104,False
15.1,239.1,192.0,3,81,97,TX,21,no,yes,1,201,False
11.3,350.9,242.3,3,102,102,AR,0,yes,no,0,99,True
7.5,323.2,127.0,2,75,107,CO,0,no,no,1,137,False
11.6,222.0,186.6,5,116,69,KS,24,no,yes,1,143,False
9.9,146.9,178.5,7,141,124,MO,0,no,no,1,110,False
12.2,209.4,136.6,2,81,112,LA,0,no,no,4,150,True
8.3,205.9,204.2,4,92,57,NC,38,no,yes,0,107,False
7.5,327.0,184.1,6,73,98,NV,0,no,no,2,115,False
7.0,196.8,235.1,7,104,97,RI,0,no,no,3,36,False
6.6,145.2,241.9,5,112,104,HI,0,no,no,1,24,False
12.4,152.7,207.6,13,94,71,MO,0,no,no,1,45,False
9.6,150.2,252.0,1,106,120,OR,0,no,no,2,120,False
14.2,249.6,98.4,4,129,78,RI,0,no,no,1,93,False
6.6,204.0,72.5,3,112,88,WV,0,no,no,1,113,False
8.6,139.6,204.5,5,121,92,AZ,22,no,yes,2,122,False
5.5,292.7,194.8,3,103,106,ID,0,no,no,0,151,False
10.4,192.1,334.3,6,104,118,DE,0,no,no,0,129,True
10.2,175.1,199.2,2,83,111,IA,0,no,no,3,46,False
12.0,208.5,214.3,2,76,118,WV,0,no,no,1,111,False
12.9,220.7,181.6,4,100,112,HI,31,no,yes,2,98,False
14.9,232.5,185.0,4,129,84,AK,0,no,no,3,71,False
10.2,137.0,131.6,5,109,89,NM,0,no,no,3,68,False
10.0,146.9,98.8,4,68,97,AL,0,no,no,3,119,False
9.5,230.0,100.8,2,69,112,MT,0,no,no,0,169,False
11.4,211.0,41.9,5,95,124,HI,0,no,no,1,79,False
9.3,134.1,240.0,2,106,83,CT,0,no,no,0,87,True
12.1,198.2,78.3,4,94,119,SC,0,no,no,1,111,False
6.5,198.7,211.7,9,101,100,WV,0,no,no,1,172,False
11.3,215.4,212.3,2,127,89,NC,0,no,no,2,125,False
12.1,188.2,224.9,2,84,97,MN,46,no,yes,0,162,False
10.8,262.0,222.9,4,80,136,VT,32,no,yes,0,128,False
10.0,163.1,234.1,3,105,91,NV,0,yes,no,1,107,False
7.5,246.8,167.7,11,91,104,ID,22,no,yes,1,153,False
8.8,226.2,270.9,5,110,98,CO,0,no,no,0,105,True
12.5,179.5,136.8,3,105,113,CA,19,no,yes,2,93,False
10.5,313.4,111.1,6,95,126,VA,0,yes,no,1,146,False
12.6,184.2,154.6,5,105,112,VA,0,no,no,2,118,False
7.0,176.6,194.1,7,110,121,WA,0,no,no,2,55,False
13.2,220.0,248.7,2,118,109,MN,0,no,no,1,62,True
9.1,202.6,197.0,10,128,109,AR,0,no,no,1,163,False
9.5,185.5,113.2,5,97,86,OR,0,no,no,1,80,False
11.1,153.2,138.5,7,86,110,IA,0,no,no,1,75,False
9.1,102.6,160.4,5,103,68,NY,0,no,no,2,39,False
12.5,218.1,160.4,4,88,108,NV,0,no,no,1,22,False
8.8,266.9,255.1,3,97,93,WA,0,no,no,3,121,True
9.8,237.3,190.6,1,105,104,NE,28,no,yes,2,88,False
10.9,276.3,149.8,7,75,123,MA,0,no,no,2,80,False
7.8,166.7,205.3,4,128,95,ND,0,no,no,1,147,False
10.5,102.8,176.9,2,56,128,NJ,0,no,no,4,111,True
9.5,178.4,252.9,7,112,93,ME,0,no,no,3,78,False
7.4,178.6,221.1,3,48,106,ID,0,no,no,1,60,False
7.5,244.4,175.2,2,109,91,WV,0,no,no,1,95,False
14.7,155.5,134.3,4,100,73,MT,0,no,no,3,54,False
17.1,118.5,189.0,6,99,100,MO,0,no,no,0,55,False
5.9,177.1,239.9,3,104,91,MI,0,no,no,2,135,False
9.3,169.9,182.3,3,110,124,AK,0,no,no,1,127,False
10.9,186.4,151.4,3,76,89,FL,0,no,no,0,93,False
9.4,174.9,139.8,7,143,98,TX,0,no,no,2,92,False
10.3,179.6,96.3,2,91,83,NJ,36,no,yes,1,107,False
10.8,150.1,113.0,4,87,80,WA,0,no,no,2,118,False
10.9,190.0,165.8,3,141,96,MO,0,no,no,5,85,True
9.2,161.1,274.6,4,121,105,OH,0,no,no,2,88,False
10.3,168.5,191.4,3,138,114,WV,0,no,no,1,173,False
9.5,170.4,185.2,13,96,87,SD,0,no,no,1,148,False
13.9,197.5,159.7,6,76,86,MA,0,yes,no,0,62,True
14.7,205.1,181.5,9,88,95,AK,0,no,no,2,117,False
12.0,247.3,204.3,4,123,65,MI,0,no,no,1,59,False
8.2,169.9,146.5,5,125,121,PA,0,no,no,0,141,False
12.3,179.9,75.3,1,113,96,MS,0,no,no,1,84,False
11.8,266.2,172.3,5,91,116,ID,31,no,yes,1,92,False
8.6,219.0,80.2,2,103,81,WI,14,no,yes,1,117,False
6.3,197.6,153.5,2,102,99,MI,0,no,no,2,81,False
9.1,209.8,233.3,4,93,65,NY,0,no,no,1,125,False
6.8,158.6,196.5,3,129,88,NC,0,no,no,0,72,False
13.3,175.2,147.2,3,87,121,LA,0,no,no,2,91,False
9.7,91.7,173.6,7,84,110,NY,0,no,no,3,122,False
12.2,140.2,156.5,2,134,102,ME,0,no,no,2,105,False
6.6,158.0,209.9,1,52,77,RI,29,no,yes,0,150,False
13.2,192.8,294.9,5,78,71,MD,0,no,no,1,107,True
10.1,269.4,240.7,3,85,82,MN,0,no,no,0,125,True
8.8,262.2,190.2,4,64,68,SC,0,no,no,0,93,False
9.1,232.9,207.0,8,83,90,MS,0,no,no,3,82,False
12.4,210.9,140.7,4,98,88,DE,0,no,no,2,99,False
6.4,253.6,141.3,2,87,123,TN,0,no,no,1,103,False
6.4,256.8,230.7,3,88,101,PA,40,no,yes,1,142,False
11.6,242.4,249.8,4,106,109,CA,0,no,no,0,111,True
6.3,165.1,185.1,4,88,100,WA,0,no,no,3,110,False
10.6,239.7,155.1,4,93,117,FL,0,no,no,0,147,False
6.9,205.7,286.4,6,74,125,NV,0,no,no,1,115,True
12.7,76.4,184.0,3,134,99,WV,16,no,yes,2,92,False
8.5,177.9,252.9,4,99,112,MT,22,no,yes,3,50,False
6.3,128.9,125.5,6,96,106,MS,0,yes,no,4,123,True
9.5,181.1,179.4,4,97,88,NV,21,no,yes,2,136,False
10.7,120.9,83.6,9,91,148,WY,0,no,no,0,215,False
10.7,205.2,204.6,5,94,117,VA,0,no,no,0,44,False
5.8,240.0,186.9,3,138,94,DE,17,no,yes,1,171,False
11.0,188.3,175.9,6,88,105,MS,0,no,no,1,158,False
9.4,166.8,126.3,2,85,102,GA,0,no,no,3,98,False
5.6,207.5,90.7,5,109,90,CT,0,no,no,2,107,False
7.1,272.7,131.9,4,106,93,CO,0,no,no,1,110,False
7.8,328.7,215.4,6,98,123,AZ,22,no,yes,1,141,False
5.7,225.7,106.5,3,108,65,NH,30,no,yes,2,84,False
12.6,167.8,115.6,9,104,129,IN,0,no,no,1,130,False
5.3,217.5,175.8,4,106,97,NY,21,no,yes,5,75,False
11.9,300.9,200.1,5,120,72,MO,0,no,no,0,109,False
13.0,285.2,175.9,7,115,111,CT,0,no,no,1,90,False
14.0,215.8,265.9,12,94,113,AL,29,yes,yes,0,60,True
11.7,119.6,273.8,3,156,113,MD,0,no,no,1,54,False
9.5,161.7,214.2,4,117,115,NE,36,no,yes,3,131,False
15.3,276.4,173.9,5,83,103,WI,0,no,no,0,166,False
11.4,240.8,159.5,3,93,123,KS,0,no,no,1,68,False
6.2,167.6,163.2,10,90,80,ND,0,no,no,1,132,False
12.0,220.9,157.3,7,85,83,AL,0,no,no,1,68,False
10.6,209.6,126.3,2,102,84,MS,21,no,yes,1,121,False
12.1,185.7,150.2,2,98,70,AZ,0,no,no,1,59,False
10.6,322.3,244.3,6,89,140,WI,29,no,yes,0,120,False
12.0,233.6,178.4,2,134,72,VT,0,no,no,0,124,False
9.2,208.9,138.9,3,109,65,VA,0,no,no,2,67,False
8.8,194.9,180.9,9,83,79,OK,0,yes,no,3,149,False
14.0,237.6,137.4,11,49,109,MI,0,no,no,3,78,False
13.9,208.3,110.5,2,81,101,MT,35,no,yes,4,103,True
7.4,130.1,197.1,4,76,126,VT,0,no,no,3,152,False
10.3,150.0,239.2,2,115,114,NV,0,no,no,5,77,False
10.2,253.6,200.3,5,105,76,WI,12,no,yes,0,184,False
15.4,264.9,221.1,4,99,137,NC,32,yes,yes,2,133,True
15.6,89.7,146.4,4,103,104,NJ,34,no,yes,2,122,False
4.3,176.2,131.1,4,81,108,AZ,0,no,no,1,100,False
9.8,183.5,190.7,4,117,103,MD,0,no,no,3,121,False
15.4,223.8,109.7,8,87,148,NH,0,no,no,3,115,False
8.3,181.6,148.3,6,79,83,AK,0,no,no,3,52,False
8.9,56.0,156.0,8,116,56,NE,0,no,no,0,149,False
7.7,233.9,166.0,3,88,62,WI,28,no,yes,2,122,False
17.6,250.7,191.3,5,136,95,OH,25,no,yes,2,83,False
7.1,110.1,223.0,12,98,121,AL,0,no,no,0,106,False
13.2,224.7,141.1,2,94,109,AZ,27,no,yes,1,48,False
12.1,257.1,205.9,8,94,96,UT,0,no,no,0,138,False
13.6,160.6,222.1,2,109,89,GA,18,yes,yes,0,128,True
10.9,173.2,179.8,4,86,125,TN,0,no,no,0,67,False
10.8,190.0,196.5,2,89,82,OR,0,no,no,2,92,False
14.6,209.1,145.0,2,92,133,MT,0,no,no,1,60,False
8.6,180.7,265.6,2,75,82,NY,0,no,no,1,92,False
9.4,168.6,192.2,6,116,86,AL,0,no,no,1,73,False
10.1,154.6,187.8,3,97,109,OH,0,no,no,2,114,False
15.0,163.4,218.7,1,78,79,RI,27,no,yes,0,123,False
6.9,247.5,132.1,6,107,72,NJ,0,no,no,3,113,False
11.8,152.9,242.4,6,115,126,HI,0,no,no,1,134,False
13.6,229.6,162.8,3,91,118,MA,0,yes,no,0,17,True
7.6,213.1,157.1,3,36,95,CT,0,no,no,2,74,False
12.0,240.3,177.4,3,104,136,WI,0,no,no,0,74,False
8.4,260.5,213.9,3,100,112,UT,0,no,no,1,68,True
7.5,252.2,115.5,6,143,70,CT,0,no,no,0,67,False
13.3,230.1,129.9,3,105,121,UT,0,no,no,0,81,False
9.1,191.3,225.0,3,79,78,NJ,31,yes,yes,1,59,False
17.5,207.4,216.9,5,120,61,MI,0,yes,no,1,93,True
8.1,178.3,139.3,1,117,101,AK,39,no,yes,3,55,False
12.1,246.5,148.8,3,164,70,WI,0,no,no,3,68,False
7.6,215.8,156.8,6,68,93,ID,0,no,no,1,87,False
17.5,193.8,93.6,5,72,137,ID,14,no,yes,1,148,False
8.8,279.5,225.1,4,127,90,DE,0,no,no,0,97,True
5.4,131.2,173.2,3,80,93,MS,0,no,no,0,76,False
7.3,233.7,269.0,4,120,120,OR,0,no,no,2,95,True
11.8,267.1,72.8,2,120,120,NV,0,no,no,2,161,False
13.7,250.7,245.0,8,75,97,CT,0,no,no,1,115,True
15.9,169.4,208.3,4,67,89,MD,0,no,no,3,106,False
11.2,221.3,160.3,2,92,138,AL,0,no,no,0,100,False
9.5,198.9,154.0,3,121,133,AZ,0,no,no,4,66,True
7.4,58.9,169.6,8,86,85,NH,0,no,no,1,114,False
9.6,93.4,176.3,1,125,85,OK,0,no,no,2,92,False
10.5,162.3,147.0,4,103,79,TN,0,no,no,1,72,False
7.9,180.2,275.2,2,108,67,WV,0,no,no,1,48,False
6.9,193.8,148.4,6,98,95,AK,0,no,no,0,110,False
5.8,289.7,273.8,3,106,97,FL,0,no,no,2,105,True
16.9,215.9,181.1,4,116,59,DE,35,yes,yes,0,67,True
12.3,230.5,150.4,4,99,119,IA,0,no,no,1,130,False
10.5,186.4,72.8,4,103,107,MN,0,no,no,3,98,False
12.3,239.3,78.1,4,115,70,MD,0,no,no,1,83,False
12.4,114.4,218.0,1,88,57,CA,0,yes,no,0,151,True
11.6,179.9,159.9,2,95,94,MN,0,yes,no,2,100,True
15.6,247.7,128.1,3,78,99,MD,40,no,yes,0,120,False
8.9,221.0,197.8,5,64,60,WI,0,no,no,1,51,False
13.5,260.1,89.7,11,79,118,OK,0,no,no,5,101,True
4.5,167.1,223.3,4,128,99,OH,0,no,no,0,143,True
13.3,83.4,154.6,3,103,92,SC,37,no,yes,1,64,False
2.0,184.9,169.4,7,144,102,NE,0,no,no,1,77,False
11.1,215.1,119.3,1,109,117,HI,0,no,no,1,49,False
13.1,162.3,155.9,5,107,122,AZ,41,no,yes,3,83,False
10.6,230.0,180.5,3,98,126,RI,0,no,no,0,63,False
13.1,178.5,151.7,8,77,93,WA,0,no,no,2,184,False
10.2,256.7,183.6,2,72,117,MO,0,no,no,1,6,False
13.1,266.4,278.0,4,114,102,VT,0,no,no,4,63,True
14.1,258.9,175.7,7,136,82,MT,23,no,yes,1,71,False
12.4,190.8,216.6,8,104,126,OR,0,no,no,0,165,False
10.8,141.1,219.6,4,144,97,ND,0,no,no,2,68,False
9.2,227.1,128.7,4,67,100,AZ,0,no,no,2,113,True
0.0,163.7,128.5,0,91,115,NY,27,no,yes,1,120,False
11.6,170.7,201.1,3,86,101,IN,0,no,no,3,108,False
8.0,270.6,164.6,3,103,110,IL,0,no,no,0,116,False
12.2,123.0,161.6,5,90,117,WI,33,no,yes,1,81,False
11.1,268.2,220.1,3,133,128,OH,27,no,yes,0,119,False
12.2,237.4,186.0,6,105,55,NJ,0,no,no,1,113,False
9.9,210.2,166.5,5,107,129,KY,0,no,no,1,131,False
10.8,234.7,226.4,7,97,117,MI,26,no,yes,1,83,False
9.9,216.9,175.1,3,69,144,WV,0,no,no,1,36,False
11.8,196.7,174.4,3,100,108,IA,35,no,yes,1,89,False
5.5,138.2,139.8,6,91,114,VA,29,yes,yes,0,72,False
10.0,317.0,166.4,2,129,117,OK,0,no,no,1,160,False
9.7,171.5,222.5,2,94,104,ID,8,no,yes,1,55,False
13.2,191.6,194.9,2,90,63,AZ,31,no,yes,2,69,False
8.8,139.1,198.2,1,123,107,ID,28,no,yes,2,73,False
8.5,144.1,118.4,6,108,100,IA,43,no,yes,1,64,False
15.4,166.4,133.9,3,110,87,MT,0,no,no,1,138,False
12.2,190.4,147.1,3,107,91,MN,0,no,no,0,62,False
13.8,280.9,196.4,4,90,139,ID,27,no,yes,1,85,False
9.5,254.1,207.2,5,137,111,ME,29,no,yes,2,82,False
10.2,223.9,133.4,13,117,107,WA,0,no,no,1,143,False
11.3,188.8,244.6,4,80,89,CA,0,yes,no,1,124,False
11.1,178.2,189.1,4,97,112,NY,26,no,yes,1,104,False
9.1,228.1,246.4,8,124,107,NC,0,no,no,0,170,False
10.6,171.5,154.8,2,102,111,NJ,0,no,no,3,197,False
9.1,192.7,245.5,4,54,130,SD,0,no,no,1,55,False
14.8,230.9,285.7,7,106,124,WA,0,no,no,0,55,True
8.5,220.2,193.5,5,90,85,ND,23,no,yes,0,105,False
3.7,322.7,196.0,5,82,82,IN,22,yes,yes,1,117,False
15.9,209.9,115.4,6,115,99,WY,0,no,no,3,89,False
10.2,242.0,135.2,2,107,98,OH,0,no,no,2,162,False
8.5,231.0,62.9,5,64,81,HI,0,no,no,1,99,False
8.7,203.7,197.0,3,107,97,GA,0,no,no,3,18,False
10.9,226.2,177.4,4,104,125,NY,0,no,no,0,70,False
7.5,120.7,213.2,4,116,79,MT,0,no,no,1,121,False
8.0,292.5,207.2,1,104,121,WY,0,no,no,2,90,False
8.5,210.0,165.3,3,101,118,MD,0,no,no,2,106,False
10.4,198.5,153.4,3,81,86,AL,0,no,no,0,131,False
14.5,177.3,74.3,3,116,107,MN,26,no,yes,2,186,False
14.7,232.5,179.4,3,99,80,ND,0,no,no,0,59,False
9.0,189.9,194.3,3,97,83,MN,0,no,no,5,138,False
8.5,122.9,245.3,4,130,91,NM,0,no,no,4,62,False
8.6,131.0,149.0,3,81,73,DC,0,no,no,2,24,True
6.0,195.5,143.3,7,58,91,NY,0,no,no,1,181,False
11.2,251.0,197.9,2,113,89,ND,0,no,no,2,166,False
7.0,209.4,204.7,2,91,118,OH,27,no,yes,2,116,False
10.0,185.7,224.3,1,103,112,WV,0,no,no,2,127,False
11.1,125.9,159.3,5,75,66,AK,0,no,no,1,41,False
12.3,167.9,159.0,5,128,80,AZ,0,no,no,1,84,False
6.9,287.6,230.1,3,76,108,NC,30,no,yes,2,122,False
12.6,293.9,160.4,5,103,73,RI,0,yes,no,4,104,False
5.3,248.1,118.0,5,99,133,ME,0,no,no,1,66,False
15.2,262.8,164.6,4,108,121,GA,29,no,yes,1,160,False
5.3,187.4,151.1,3,104,123,NV,0,no,no,1,124,False
6.9,248.5,226.0,11,118,112,RI,0,no,no,1,56,False
